Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
75,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1,1,90,1,2,4,50,0,0,0,0,0.7,0.17,-1.3,2,6,33.3,19,5,10.5,26.1,11,36.4,40.5,9,11.1,0,13
76,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21,21,1890,21,1.33,4.19,70.5,9.5,0,0.05,0.29,1.3,0.29,0.01,5.24,13.7,38.3,20,4.05,44.6,38.7,7.81,61,46.2,9.67,10.3,0.62,0.69
77,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,15,15,1197,13.3,2.03,5.04,61.2,6.7,0,0.08,0.23,1.55,0.29,-0.33,5.64,14.1,39.9,22.2,4.89,41.7,37.9,8.2,59.6,47.4,8.42,8,0.6,1.09
78,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1,1,90,1,3,6,50,0,0,1,0,1.1,0.19,-1.9,2,13,15.4,21,6,42.9,37.8,10,40,37.4,8,0,1,13
79,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1,1,90,1,2,6,66.7,0,0,0,0,1.1,0.19,0.1,4,17,23.5,36,6,30.6,32.1,9,66.7,47.9,8,0,0,7.9
80,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,30,30,2655,29.5,1.12,3.83,73.5,36.7,0,0.03,0.34,1,0.24,-0.12,5.59,12.3,45.3,26.2,5.49,35.4,33,6.75,45.2,37.2,7.32,7.4,0.58,0.49
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33,33,2967,33,1.03,3.24,71,30.3,0,0,0.18,1.05,0.31,0.05,4.67,11.2,41.5,29.5,4.7,30.1,32.3,6.03,39.2,35.9,6.76,3.6,1.3,0.54
82,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9,9,810,9,2.44,6,63,11.1,33.3,0,0.33,2.5,0.38,0.06,6.56,17.1,38.3,23.7,4.33,53.5,40.2,9.44,47.1,40.8,10.4,7.4,0.78,1.58
83,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37,37,3330,37,0.81,3.27,78.5,40.5,0,0,0.08,0.85,0.24,0.07,5.57,10.3,53.9,30.1,4.51,30.5,30.5,3.92,29,30.1,6.84,5.9,0.11,0.33
84,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2,2,180,2,3,6.5,53.8,0,0,0,0.5,2.1,0.34,-0.4,13,32.5,40,29.5,4,76.3,57.8,10.5,95.2,69.9,10,5,1.5,7.95
85,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,1993,36,36,3240,36,1.33,3.78,67.6,33.3,42.9,0,0.28,1.24,0.3,-0.06,11.4,24.5,46.7,23.4,2.08,73,53,8.42,87.5,62.4,10.3,5.7,1.19,0.43
86,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,33,1987,5,4,405,4.5,2.67,5.11,56.5,0,0,0,0.44,2.11,0.34,-0.56,4.44,8.44,52.6,32.9,6.67,21.6,30.3,6.44,20.7,32.4,7.11,18.8,1.11,3.71
87,Timo Horn,de GER,GK,Köln,de Bundesliga,28,1993,13,13,1170,13,1.62,4.23,61.8,7.7,0,0,0.31,1.41,0.34,-0.13,6.92,14.2,48.6,33.6,3.62,35.2,35.6,6.38,37.3,37.4,6.92,3.3,0.92,1.22
88,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,1989,32,32,2880,32,1.38,4.78,72.5,25,33.3,0.06,0.22,1.42,0.29,0.04,5.91,14.6,40.6,32.7,5.28,35.2,34.3,6.75,45.4,39.4,7.53,5.8,0.78,0.47
89,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1,1,90,1,0,4,100,100,0,0,0,1.5,0.37,1.5,8,19,42.1,21,2,52.4,41.1,10,80,51.2,22,0,1,14.8
90,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1,1,90,1,0,1,100,100,0,0,0,0,0.02,0,1,4,25,24,5,8.3,28.4,7,28.6,32.3,8,0,0,13.2
91,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2,2,180,2,1,4,75,50,0,0,0,1.3,0.32,0.3,4,8,50,38.5,6,18.2,26.3,6.5,15.4,26.3,5.5,0,1.5,8.2
92,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,1,0,36,0.4,0,10,100,0,0,0,0,0.75,0.07,0.75,5,10,50,20,5,37.5,34.4,7.5,33.3,31,10,25,0,62.5
93,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,29,29,2565,28.5,1.37,3.68,65.7,24.1,0,0.07,0.18,1.26,0.32,-0.04,3.61,9.72,37.2,29.3,4.74,24.4,30.2,6.46,39.7,37.1,6.63,10.6,0.95,0.55
94,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29,29,2610,29,2.14,5.45,65.2,17.2,12.5,0.03,0.28,1.93,0.32,-0.13,6.59,17.1,38.6,28.7,5.34,44.8,39.4,7.72,54.5,45.4,8.83,3.9,0.34,0.43
95,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,38,3420,38,1.26,3.95,70.7,21.1,42.9,0,0.18,1.21,0.27,-0.03,5.79,16.7,34.8,21.8,3.58,48.7,42.9,7.53,80.4,58,7.61,8,0.74,0.4
96,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,27,27,2313,25.7,1.28,3.66,68.1,18.5,25,0.04,0.08,1.18,0.29,-0.11,4.63,11,42.2,20.9,5.1,37.9,34.7,7.67,40.1,35.7,8.17,11,0.62,0.53
97,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38,38,3420,38,1.34,4.18,74.8,34.2,15.4,0,0.26,1.37,0.26,0.03,7.95,21.9,36.2,22.3,3.05,68,52.1,8.16,83.5,64.2,9.68,9,0.61,0.36
98,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4,4,360,4,2.25,4.75,52.6,25,0,0,0.25,1.85,0.39,-0.4,4,13.3,30.2,18.5,3,37.8,37.1,9.25,67.6,49.8,12,4.2,0.25,3.23
99,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,10,0,19,0,0,0,0
100,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,6,6,495,5.5,1.64,7.09,76.9,0,0,0,0,2.11,0.31,0.47,5.45,12.7,42.9,28.2,7.09,33.5,32.9,7.64,42.9,34.9,10.4,3.5,0.36,2.07
101,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12,12,1080,12,2,5.08,62.3,25,0,0,0.42,1.68,0.32,-0.24,5.92,19.3,30.6,34.4,5.42,43.3,38.5,7.42,59.6,47,12.8,7.8,0.58,1.18
